brand_name,product_name,collection,official_url,release_signal,source_status,price_text,match_hint
Aedes de Venustas,16a Orchard - Eau de Parfum,16A Orchard Eau De Parfum,https://aedesdevenustas.com/products/16a-orchard-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas 16a Orchard - Eau de Parfum
Aedes de Venustas,Amnesia Rose - Eau de Parfum,Amnesia Rose,https://aedesdevenustas.com/products/amnesia-rose,new product,ok,USD 245.0,Aedes de Venustas Amnesia Rose - Eau de Parfum
Aedes de Venustas,Café Tabac - Eau de Parfum,Cafe Tabac Eau De Parfum,https://aedesdevenustas.com/products/cafe-tabac-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Café Tabac - Eau de Parfum
Aedes de Venustas,Cierge de Lune - Eau de Parfum,Cierge De Lune Eau De Parfum,https://aedesdevenustas.com/products/cierge-de-lune-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Cierge de Lune - Eau de Parfum
Aedes de Venustas,Copal Azur - Eau de Parfum,Copal Azur Eau De Parfum,https://aedesdevenustas.com/products/copal-azur-eau-de-parfum,new product,ok,USD 245.0,Aedes de Venustas Copal Azur - Eau de Parfum
Aedes de Venustas,Aedes de Venustas L'Artisan Parfumeur perfume - a fragrance for women and men 2008,,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Aedes-de-Venustas-4149.html,fragrantica latest,ok,,
Aedes de Venustas,Fille en Aiguilles Serge Lutens perfume - a fragrance for women and men 2009,,https://www.fragrantica.com/perfume/Serge-Lutens/Fille-en-Aiguilles-6619.html,fragrantica latest,ok,,
Maison Crivelli,Luna Rossa Carbon Eau de Parfum Prada cologne - a new fragrance for men 2026,,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Carbon-Eau-de-Parfum-127045.html,fragrantica latest,ok,,
Maison Crivelli,Fille en Aiguilles Serge Lutens perfume - a fragrance for women and men 2009,,https://www.fragrantica.com/perfume/Serge-Lutens/Fille-en-Aiguilles-6619.html,fragrantica latest,ok,,
Initio Parfums Prives,Power Self Initio Parfums Prives perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Power-Self-103778.html,fragrantica latest,ok,,
Initio Parfums Prives,Luna Rossa Carbon Eau de Parfum Prada cologne - a new fragrance for men 2026,,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Carbon-Eau-de-Parfum-127045.html,fragrantica latest,ok,,
Kerosene,Comme des Garcons Series 6 Synthetic: Tar Comme des Garcons perfume - a fragrance for women and men 2004,,https://www.fragrantica.com/perfume/Comme-des-Garcons/Comme-des-Garcons-Series-6-Synthetic-Tar-1235.html,fragrantica latest,ok,,
Kerosene,Comme des Garcons Series 6 Synthetic: Garage Comme des Garcons perfume - a fragrance for women and men 2004,,https://www.fragrantica.com/perfume/Comme-des-Garcons/Comme-des-Garcons-Series-6-Synthetic-Garage-1236.html,fragrantica latest,ok,,
Imaginary Authors,A LITTLE SECRET - FRAGRANCE,A Little Secret,https://imaginaryauthors.com/products/a-little-secret,new product,ok,USD 115.0,Imaginary Authors A LITTLE SECRET - FRAGRANCE
Imaginary Authors,CAPE HEARTACHE - FRAGRANCE,Cape Heartache,https://imaginaryauthors.com/products/cape-heartache,new product,ok,USD 115.0,Imaginary Authors CAPE HEARTACHE - FRAGRANCE
Imaginary Authors,Every Storm A Serenade 2024 Imaginary Authors perfume - a fragrance for women and men 2024,,https://www.fragrantica.com/perfume/Imaginary-Authors/Every-Storm-A-Serenade-2024-100141.html,fragrantica latest,ok,,
Imaginary Authors,A Little Secret Imaginary Authors perfume - a new fragrance for women and men 2025,,https://www.fragrantica.com/perfume/Imaginary-Authors/A-Little-Secret-105011.html,fragrantica latest,ok,,
